CRASH_RECORD_ID,INJURIES_FATAL,LOCATION,LATITUDE,LONGITUDE
362296540649f61188bd0ddc4bf04a3a51c5275dfb6ebba723f2414a58befad8e4c0f2fd747ac52a3a32d43ef4f2da49ec86234f1a768ba4fa93f85b90c8bc53,1.0,POINT (-87.741947526752 41.949989578729),41.949989579,-87.741947527
3f0b4ebf2e25724c3f20696ad84cad664e2fc533f7622e0933ced4b40ba472baf350bea93565c25d4a38809e5cb7df342c67e35f6570ad8e601a31bca5596e50,1.0,POINT (-87.676787987969 41.882339859326),41.882339859,-87.676787988
4093998a0b9850eb00ab53210011b2948ed0be4cafc0cee1657211b0d477b74262c8859b645acfc9e130903ab9e87670f00b92d512881dc6d2b19bafad24a615,1.0,POINT (-87.53633845082 41.715890223295),41.715890223,-87.536338451
43e346f077fd74bc62460932932318613559b9210f8453e45d6435c3ac8650b039d80cac154584e43286fcc23a0f17c32f9ba1fb4a7e34bc60001f732f505c92,1.0,POINT (-87.656977095793 41.871802865922),41.871802866,-87.656977096
459a382fb8c077e2d78dd0cc31bdbcf639258e031c47bfa034ab577a5c1fc856fafa066a4a39c5af0490f74c8104c6dad969b0fac460366a52d204b40f9e9be8,1.0,POINT (-87.704559952014 42.013826633311),42.013826633,-87.704559952
4943b55a57b3e44b30919d23201f955bd8ed5050c4c7ae56a0f054e4dc84ea8019374eaa9ebb3becff2dfaaf9d7213bf66231c09457a63baf0b562f38e85485e,1.0,POINT (-87.738474202702 41.90236336273),41.902363363,-87.738474203
53531e4027c00300354e3cb66d57bea2e36c7ef66b40643f4c197fd3ed1d4657f9434b15b8465ebc963ef4d1bd883c4faedb13fbf8527d54199e969d0da01af9,1.0,POINT (-87.66540648669 41.820498095114),41.820498095,-87.665406487
5ffd9b073c70d7a42cbba20275859b95d5d03173af10db8c639ca2d14d92bb24af529b2e1b3c0a6a5ba2f8a1dc05f43552efbb1cf4817dad2fc48d30ab064f6f,1.0,POINT (-87.711241854307 41.883959498525),41.883959499,-87.711241854
64171f135bd24ce7657e8426eaa6282282570290559a527c2e84a7270ae5500bd383a5ea2ed94508cee0286cf0086a07aaf73cd4be33d74f988604ebe7f7aa8e,1.0,POINT (-87.722773853002 41.898940655664),41.898940656,-87.722773853
67fbb3a6beef414c3ee4488e714c3e4dab58e95f50bda9ccfc75c9ac2553e3d849e1bb8eda6593685987016459048f9f1a3d737e76aa5484c996d8614dac89d2,1.0,POINT (-87.714507900934 41.741907693181),41.741907693,-87.714507901
68fc0474f77f3e793b0168aced1a764add4a4baeff3342c3ba5b149251e21059ce6347ce2fe79f3585a6db5c87f52595155804798dc3d884bb3838101cc1c5e3,1.0,POINT (-87.65794393876 41.897732791044),41.897732791,-87.657943939
8060171a59c6cd7a7506c65f3535c70f5e57f481ec265543f7a28f63cd0d7c5cfe578eb4d42555dd720eb40522ca6a3064fc3a9e3d233d7fa60ea0f4417e1c66,1.0,POINT (-87.679231460626 41.975210965273),41.975210965,-87.679231461
8f2488d96bac9196eafefe45769d56b866d12d5617e0435d07232c0ae7bf6b129c06225670b4508fd4c0ea42b007a15e1c5b05f33ee4bf8e39201fb36a3f33ea,1.0,POINT (-87.687922235539 41.92866978991),41.92866979,-87.687922236
af7ce17246a9844be7d60640f088923460f85110a31d3ab0892a0108dad738458a0c0b02cf5b6a25a45003373a02a5fb0db2796d17a45e98f5bb0260af8b9e82,1.0,POINT (-87.636855087545 41.845567027585),41.845567028,-87.636855088
c1711eaa9078e952b0c1db05732c4dbc4d2b7cf2b03f3965ddc1642ac57ede45227efacf655187109f27a0c0c1fa3471913d26e00781d9b1bc0c3b753a58e189,1.0,POINT (-87.657575099815 41.967116374101),41.967116374,-87.6575751
c1711eaa9078e952b0c1db05732c4dbc4d2b7cf2b03f3965ddc1642ac57ede45227efacf655187109f27a0c0c1fa3471913d26e00781d9b1bc0c3b753a58e189,1.0,POINT (-87.657575099815 41.967116374101),41.967116374,-87.6575751
c2722527e07ac4e101c21943516439909f71039411ad84b2bc4f4b8dbd349bb4923fd37efc50a8c69c3246965a34478471eddc0d7d6df4326a4c42124b5d214a,1.0,POINT (-87.656649246756 41.894095027277),41.894095027,-87.656649247
c3c4ae80c78444c591da8f818a04d28b73036afcda0cc2e982c115093983906f3d1ef3ffdb4f37dc1bb91553f26dcc4971a40a32c2abccaa09754583291319f9,1.0,POINT (-87.585709955546 41.763548438539),41.763548439,-87.585709956
c7232aa8b914278bdb96c4a84551cfb6005cfc4053d7b94e9ca1e1d326800bb55acb73d7143f84cada613db1e650a469a07de9e64043cba8756397a658a28348,1.0,POINT (-87.784264101968 41.788724599219),41.788724599,-87.784264102
c82fa4311bf0d92925fc3f23e461b11bfcf210f902510cf1e9b6ec8693dcf2280e9ddaac83204a486d7da9de4dd098a7c0b91d1a23c843ab706dea6d5e760c27,1.0,POINT (-87.624975398688 41.736390356088),41.736390356,-87.624975399
d13af63d1050df54e76b6fc359ab99e3aae816067372bc3b36403b197da8497d2126697e18ecdf41aca9eda5dd74c6ae7fb33250dbc9399f59c09e755320ea8c,1.0,POINT (-87.742151399824 41.950395646394),41.950395646,-87.7421514
d9392ee6581314dd85cb0ae78441fd39cbdd06f43bd41b74d649d7659a49c82eec8e19996d6e69e8150b892079859ee9422ffb3a6c48229576633a8adf0cd761,1.0,POINT (-87.740162359412 41.886398589703),41.88639859,-87.740162359
da80008497aed875c402dc832f0f1a86ec72d4e5bdaaa67ce32b75526e58d5de1fb9a576c10bde82592fe0b12fca7408ec09839b0269726698765f906e1140e7,1.0,POINT (-87.585945418052 41.773028070072),41.77302807,-87.585945418
dbb6436e1fece1cbf385c63b3a7252521d8eb5262683993f5ba6c7d8be503e1ebbc40aa17312a1ce1ee5c833669e208ecb9797466c321779f7a4bdab0fb342da,1.0,POINT (-87.646721187024 41.881678030436),41.88167803,-87.646721187
f85e8f04b035e63b96ad61a8963f0268bcdcab1216695fe18ce4ac8a58b57ce47ea8fb1dc3f801c513692e256bb31c304c6299f6cc4af00945ab2d83cc588524,1.0,POINT (-87.733130795786 41.800313026059),41.800313026,-87.733130796
2ebcfc17b254a75b0ff0ab2d1b242fd8118de5a4eed7b775e3a8664a32047b57c193e61b075a5cb1e638537efb029b7b164b5abc81943f97281a44787bcef070,1.0,POINT (-87.644906658094 41.856656475165),41.856656475,-87.644906658
718b0304568320b2d3b91db0409581f68c31b0e0042edd88c5849f1f8860aa2861d139d2b596fc9fafc027e85cf9a85361e9d3e1be50ed73b12e5d595bcf4f87,1.0,POINT (-87.634042511085 41.887040881068),41.887040881,-87.634042511
